number,street,unit,nearest_parcel_land_use,distance_m,reason
4669,REFUGEE RD,2I,403,11.1,nearest non-residential (403)
6000,LAKE CLUB CT,A,449,147.9,nearest parcel 148m away (> 60m)
4593,REFUGEE RD,3F,403,72.1,nearest parcel 72m away (> 60m)
3301,TRADAN DR,,403,53.0,nearest non-residential (403)
2162,SUNSHINE PL,,400,98.2,nearest parcel 98m away (> 60m)
4291,DONLYN CT,,447,35.0,nearest non-residential (447)
2051,LAKE CLUB TER,,403,27.8,nearest non-residential (403)
2811,BERWICK SQ,,403,4.5,nearest non-residential (403)
3366,TRADAN DR,,400,46.8,nearest non-residential (400)
2182,SUNSHINE PL,,403,59.8,nearest non-residential (403)
6117,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
3275,SUNMARK AVE,,,29.3,nearest non-residential ()
2732,EASTLAND MALL,,427,34.0,nearest non-residential (427)
1745,LONSDALE PL E,,403,38.0,nearest non-residential (403)
3180,ELIM MANOR CT,104,591,28.2,nearest non-residential (591)
5458,CHATFORD SQ,,403,73.1,nearest parcel 73m away (> 60m)
5573,AUTUMN CHASE DR,,411,53.7,nearest non-residential (411)
2795,GROSSE POINT,,403,94.1,nearest parcel 94m away (> 60m)
4964,COVENTRY CT S,,660,99.3,nearest parcel 99m away (> 60m)
2214,SUNSHINE PL,,520,86.1,nearest parcel 86m away (> 60m)
3153,REFUGEE RD,,465,75.4,nearest parcel 75m away (> 60m)
3675,MENDON PL,,520,70.8,nearest parcel 71m away (> 60m)
5539,CANTARA PL,4,403,24.3,nearest non-residential (403)
1759,CHANNINGWAY CT W,,403,84.5,nearest parcel 84m away (> 60m)
3325,WINTER LANE PARK,,510,101.3,nearest parcel 101m away (> 60m)
6137,MCNAUGHTEN CT,,425,46.0,nearest non-residential (425)
3634,RIVERDALE SQ,,625,82.4,nearest parcel 82m away (> 60m)
2828,WYMAN CT,,403,57.3,nearest non-residential (403)
3776,SOFT WIND DR,,403,78.1,nearest parcel 78m away (> 60m)
2025,COURTRIGHT RD,,340,110.7,nearest parcel 111m away (> 60m)
3955,MAUMEE BAY WAY,,510,72.0,nearest parcel 72m away (> 60m)
