number,street,unit,city,state,zip,census_status
5936,HUNTLEYWOOD BLVD,UNIT 303,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 307,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 102,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 107,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 106,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 306,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 308,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 107,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 308,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 205,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 206,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 102,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 303,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 201,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 205,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 307,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 208,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 101,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 203,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 102,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 107,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 207,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 202,Columbus,OH,43232,No_Match
5984,HIGHLAND GREEN BLVD,UNIT 301,Columbus,OH,43232,No_Match
5983,HIGHLAND GREEN BLVD,UNIT 106,Columbus,OH,43232,No_Match
5955,HIGHLAND GREEN BLVD,UNIT 305,Columbus,OH,43232,No_Match
5936,HUNTLEYWOOD BLVD,UNIT 301,Columbus,OH,43232,No_Match
1589,MacBRINN AVE,UNIT 202,Columbus,OH,43232,No_Match
5931,HIGHLAND GREEN BLVD,UNIT 205,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 308,Columbus,OH,43232,No_Match
5956,HUNTLEYWOOD BLVD,UNIT 105,Columbus,OH,43232,No_Match
5880,ANNABERG DR,,Columbus,OH,43232,No_Match
3051,LAMPTONRIDGE DR,,Columbus,OH,43232,No_Match
5898,ANNABERG DR,,Columbus,OH,43232,No_Match
3039,LAMPTONRIDGE DR,,Columbus,OH,43232,No_Match
3061,WYNTREE DR,,Columbus,OH,43232,No_Match
5921,ANNABERG DR,,Columbus,OH,43232,No_Match
3057,LAMPTONRIDGE DR,,Columbus,OH,43232,No_Match
5875,ANNABERG DR,,Columbus,OH,43232,No_Match
3005,LAMPTONRIDGE DR,,Columbus,OH,43232,No_Match
3047,ASHMERE DR,,Columbus,OH,43232,No_Match
3040,WYNTREE DR,,Columbus,OH,43232,No_Match
3070,WYNTREE DR,,Columbus,OH,43232,No_Match
3037,WYNTREE DR,,Columbus,OH,43232,No_Match
5915,ANNABERG DR,,Columbus,OH,43232,No_Match
3044,ASHMERE DR,,Columbus,OH,43232,No_Match
3055,WYNTREE DR,,Columbus,OH,43232,No_Match
