number,street,unit,city,region,postcode,district,latitude,longitude
7190,ARGENTO AVE,308 CN,COLUMBUS,OH,43213,FRA,39.9844271,-82.8100785
7190,ARGENTO AVE,201 CN,COLUMBUS,OH,43213,FRA,39.9844545,-82.8105757
7190,ARGENTO AVE,102 CN,COLUMBUS,OH,43213,FRA,39.9845158,-82.8105441
7190,ARGENTO AVE,207 CN,COLUMBUS,OH,43213,FRA,39.9844922,-82.8101005
7190,ARGENTO AVE,307 CN,COLUMBUS,OH,43213,FRA,39.9844909,-82.8100752
7190,ARGENTO AVE,205 CN,COLUMBUS,OH,43213,FRA,39.9844441,-82.8102889
7190,ARGENTO AVE,106 CN,COLUMBUS,OH,43213,FRA,39.9845152,-82.8102598
7190,ARGENTO AVE,103 CN,COLUMBUS,OH,43213,FRA,39.9845136,-82.810442
7190,ARGENTO AVE,204 CN,COLUMBUS,OH,43213,FRA,39.9844442,-82.8104199
7190,ARGENTO AVE,301 CN,COLUMBUS,OH,43213,FRA,39.9844537,-82.8106036
7190,ARGENTO AVE,101 CN,COLUMBUS,OH,43213,FRA,39.9844575,-82.8105488
7190,ARGENTO AVE,302 CN,COLUMBUS,OH,43213,FRA,39.9845116,-82.8105967
7190,ARGENTO AVE,305 CN,COLUMBUS,OH,43213,FRA,39.9844433,-82.8103167
7190,ARGENTO AVE,206 CN,COLUMBUS,OH,43213,FRA,39.9845117,-82.8102859
7190,ARGENTO AVE,202 CN,COLUMBUS,OH,43213,FRA,39.9845124,-82.8105709
7190,ARGENTO AVE,203 CN,COLUMBUS,OH,43213,FRA,39.9845077,-82.8104159
4793,ASHLEY AVE,,WHITEHALL,OH,43213,FRA,39.9701591,-82.8722258
4794,ASHLEY AVE,,WHITEHALL,OH,43213,FRA,39.970345,-82.8722299
4799,ASHLEY AVE,,WHITEHALL,OH,43213,FRA,39.970002,-82.8720907
4800,ASHLEY AVE,,WHITEHALL,OH,43213,FRA,39.9704644,-82.8720161
4820,ASHLEY AVE,,WHITEHALL,OH,43213,FRA,39.9704499,-82.8717203
4830,ASHLEY AVE,,WHITEHALL,OH,43213,FRA,39.9703969,-82.8713342
4839,ASHLEY AVE,,WHITEHALL,OH,43213,FRA,39.9699692,-82.8710264
4840,ASHLEY AVE,,WHITEHALL,OH,43213,FRA,39.9703874,-82.8710389
4850,ASHLEY AVE,,WHITEHALL,OH,43213,FRA,39.9703552,-82.8706356
4855,ASHLEY AVE,,WHITEHALL,OH,43213,FRA,39.9699575,-82.870654
4856,ASHLEY AVE,,WHITEHALL,OH,43213,FRA,39.9704337,-82.8702806
5880,BAINTREE DR,,COLUMBUS,OH,43213,FRA,39.9626061,-82.8417154
5892,BAINTREE DR,,COLUMBUS,OH,43213,FRA,39.962527,-82.841238
5895,BAINTREE DR,,COLUMBUS,OH,43213,FRA,39.9618214,-82.8412559
5907,BAINTREE DR,,COLUMBUS,OH,43213,FRA,39.961787,-82.8408348
5923,BAINTREE DR,,COLUMBUS,OH,43213,FRA,39.9617166,-82.840492
5928,BAINTREE DR,,COLUMBUS,OH,43213,FRA,39.9625049,-82.8403353
5935,BAINTREE DR,,COLUMBUS,OH,43213,FRA,39.9617918,-82.840107
