number,street,unit,city,region,postcode,district,latitude,longitude
460,SCHROCK RD,UNIT E,Worthington,OH,43229,FRA,40.1017235,-83.0017351
6171,HUNTLEY RD,UNIT L,Worthington,OH,43229,FRA,40.0911518,-83.000746
6155,HUNTLEY RD,UNIT M,Worthington,OH,43229,FRA,40.0910988,-82.9994573
7029,HUNTLEY RD,APT F,Worthington,OH,43229,FRA,40.1060999,-82.9994931
6999,HUNTLEY RD,APT M,Worthington,OH,43229,FRA,40.1058211,-83.0005284
7099,HUNTLEY RD,UNIT 101,Worthington,OH,43229,FRA,40.1082003,-82.9987174
7099,HUNTLEY RD,UNIT 102,Worthington,OH,43229,FRA,40.1080918,-82.9987225
6663,HUNTLEY RD,UNIT Q,Worthington,OH,43229,FRA,40.1028762,-83.0005488
7099,HUNTLEY RD,UNIT 107,Worthington,OH,43229,FRA,40.1077481,-82.9983437
6663,HUNTLEY RD,UNIT J,Worthington,OH,43229,FRA,40.1027492,-83.0001075
6155,HUNTLEY RD,UNIT H,Worthington,OH,43229,FRA,40.0907102,-82.9988747
7020,HUNTLEY RD,UNIT A,Worthington,OH,43229,FRA,40.1061102,-82.9977604
6171,HUNTLEY RD,UNIT C,Worthington,OH,43229,FRA,40.0904832,-83.0007166
7029,HUNTLEY RD,APT D,Worthington,OH,43229,FRA,40.1060719,-82.9988861
6665,HUNTLEY RD,UNIT J,Worthington,OH,43229,FRA,40.103076,-82.99967
6185,HUNTLEY RD,UNIT C,Worthington,OH,43229,FRA,40.091443,-83.0012461
6999,HUNTLEY RD,APT J,Worthington,OH,43229,FRA,40.1058102,-83.0001231
6185,HUNTLEY RD,UNIT P,Worthington,OH,43229,FRA,40.0915038,-82.9988282
7020,HUNTLEY RD,UNIT B,Worthington,OH,43229,FRA,40.106085,-82.9973165
6171,HUNTLEY RD,UNIT F,Worthington,OH,43229,FRA,40.0904888,-83.0011232
6663,HUNTLEY RD,UNIT T,Worthington,OH,43229,FRA,40.1030963,-83.0005747
6575,HUNTLEY RD,UNIT A1,Worthington,OH,43229,FRA,40.0988212,-82.9981857
7029,HUNTLEY RD,APT L,Worthington,OH,43229,FRA,40.1061446,-83.0003383
6171,HUNTLEY RD,UNIT D,Worthington,OH,43229,FRA,40.0904849,-83.0008189
6665,HUNTLEY RD,UNIT Q,Worthington,OH,43229,FRA,40.1030373,-83.0003215
6575,HUNTLEY RD,UNIT C,Worthington,OH,43229,FRA,40.0999819,-82.9986119
6155,HUNTLEY RD,UNIT E,Worthington,OH,43229,FRA,40.0904294,-82.9991661
6911,CLEVELAND AVE,,Sharon Twp,OH,43229,FRA,40.1088437,-82.9635255
1260,HOME ACRE DR,,Sharon Twp,OH,43229,FRA,40.0989139,-82.955933
6665,HUNTLEY RD,UNIT P,Worthington,OH,43229,FRA,40.1030455,-83.0002159
6790,HILDRETH AVE,,Sharon Twp,OH,43229,FRA,40.1000316,-82.956065
6665,HUNTLEY RD,UNIT L,Worthington,OH,43229,FRA,40.1030523,-82.9998421
7099,HUNTLEY RD,UNIT 109,Worthington,OH,43229,FRA,40.1080626,-82.9981726
6911,CLEVELAND AVE,,Sharon Twp,OH,43229,FRA,40.1088611,-82.9636735
