number,street,unit,city,region,postcode,latitude,longitude
8033,JONSON DR,,REYNOLDSBURG,OH,43068,39.9617347,-82.7845427
1020,PEGGYS CV,,REYNOLDSBURG,OH,43068,39.9634987,-82.8074333
385,SERANADE ST,,REYNOLDSBURG,OH,43068,39.9731546,-82.8315736
6680,ROCKY DEN RD,,REYNOLDSBURG,OH,43068,39.9658523,-82.8209223
7393,WOLLAM AVE,,REYNOLDSBURG,OH,43068,39.9614799,-82.8017799
6401,TIMBERMILL WAY,,REYNOLDSBURG,OH,43068,39.9758802,-82.8303814
406,KNOB AVE,,REYNOLDSBURG,OH,43068,39.9725038,-82.8274869
1131,TWILIGHT DR,,REYNOLDSBURG,OH,43068,39.9591221,-82.8147207
7082,TOMAHAWK TRL,,REYNOLDSBURG,OH,43068,39.9770228,-82.813052
1197,NOCTURNE RD E,,REYNOLDSBURG,OH,43068,39.9582815,-82.8094779
7068,GOLDING DR,,REYNOLDSBURG,OH,43068,39.953919,-82.8082577
6617,ROSETREE DR,,REYNOLDSBURG,OH,43068,39.9738913,-82.8242742
6984,ARDELLE DR,,REYNOLDSBURG,OH,43068,39.9589104,-82.8117754
147,CAMBRIDGE CT,,REYNOLDSBURG,OH,43068,39.9578281,-82.7915492
6500,OLD CHURCH WAY,,REYNOLDSBURG,OH,43068,39.9779824,-82.8280756
7800,PRIESTLEY DR,,REYNOLDSBURG,OH,43068,39.9672787,-82.7919595
6510,OLDE MILL RUN,,REYNOLDSBURG,OH,43068,39.9651449,-82.8253464
7760,JORDAN XING,,REYNOLDSBURG,OH,43068,39.9649695,-82.7926919
1095,HILTON DR,,REYNOLDSBURG,OH,43068,39.9638217,-82.7812687
6505,OLDE MILL RUN,,REYNOLDSBURG,OH,43068,39.9647527,-82.8255083
7412,BROADWYN DR,,REYNOLDSBURG,OH,43068,39.954125,-82.799613
6623,GLACIER AVE,,REYNOLDSBURG,OH,43068,39.9696112,-82.823323
1031,TIFFANY DR,,REYNOLDSBURG,OH,43068,39.9614093,-82.8160095
1104,NOCTURNE RD E,,REYNOLDSBURG,OH,43068,39.9603156,-82.8089131
6738,TERRY DR,,REYNOLDSBURG,OH,43068,39.9546153,-82.8173653
7024,PRIOR PL,,REYNOLDSBURG,OH,43068,39.9621426,-82.8112739
6618,FUSILIER AVE,,REYNOLDSBURG,OH,43068,39.9708425,-82.8235267
1274,FLETCHER DR,,REYNOLDSBURG,OH,43068,39.9600232,-82.7820956
237,BRANTWOOD CT,,REYNOLDSBURG,OH,43068,39.9765667,-82.8292005
980,RUSKIN DR,,REYNOLDSBURG,OH,43068,39.9658611,-82.7841315
7037,NOCTURNE RD N,,REYNOLDSBURG,OH,43068,39.9627215,-82.8111548
1270,ADDISON DR,,REYNOLDSBURG,OH,43068,39.9598946,-82.7847925
1020,MATTERHORN DR,,REYNOLDSBURG,OH,43068,39.9618962,-82.8164648
6481,HILLTOP AVE,,REYNOLDSBURG,OH,43068,39.9711418,-82.8273382
442,HUNT VALLEY DR,,REYNOLDSBURG,OH,43068,39.9727106,-82.8232027
7122,SHAWNEE WAY,,REYNOLDSBURG,OH,43068,39.9744832,-82.8118355
6477,TIMBERMILL WAY,,REYNOLDSBURG,OH,43068,39.9757386,-82.8283536
6893,STARFIRE DR,,REYNOLDSBURG,OH,43068,39.9620293,-82.814048
7082,WHITE BUTTERFLY LN,,REYNOLDSBURG,OH,43068,39.9647163,-82.8099262
916,HILTON DR,,REYNOLDSBURG,OH,43068,39.9677227,-82.7805749
1253,WHITE BIRCH CT,,REYNOLDSBURG,OH,43068,39.9572201,-82.8155495
6443,OLD CHURCH WAY,,REYNOLDSBURG,OH,43068,39.9776501,-82.8296557
7969,PRIESTLEY DR,,REYNOLDSBURG,OH,43068,39.9646617,-82.7870649
923,SANDROCK AVE,,REYNOLDSBURG,OH,43068,39.9669985,-82.7884361
6933,STARFIRE DR,,REYNOLDSBURG,OH,43068,39.9593063,-82.8134114
1114,ROUNDELAY RD E,,REYNOLDSBURG,OH,43068,39.9602382,-82.8078555
